CountryAlpha3Code,population
ABW,106314.0
AFG,38041754.0
AGO,31825295.0
ALB,2854191.0
AND,77142.0
ARB,427870270.0
ARE,9770529.0
ARG,44938712.0
ARM,2957731.0
ASM,55312.0
ATG,97118.0
AUS,25364307.0
AUT,8877067.0
AZE,10023318.0
BDI,11530580.0
BEL,11484055.0
BEN,11801151.0
BFA,20321378.0
BGD,163046161.0
BGR,6975761.0
BHR,1641172.0
BHS,389482.0
BIH,3301000.0
BLR,9466856.0
BLZ,390353.0
BMU,63918.0
BOL,11513100.0
BRA,211049527.0
BRB,287025.0
BRN,433285.0
BTN,763092.0
BWA,2303697.0
CAF,4745185.0
CAN,37589262.0
CEB,102378579.0
CHE,8574832.0
CHI,172259.0
CHL,18952038.0
CHN,1397715000.0
CIV,25716544.0
CMR,25876380.0
COD,86790567.0
COG,5380508.0
COL,50339443.0
COM,850886.0
CPV,549935.0
CRI,5047561.0
CSS,7401383.0
CUB,11333483.0
CUW,157538.0
CYM,64948.0
CYP,1198575.0
CZE,10669709.0
DEU,83132799.0
DJI,973560.0
DMA,71808.0
DNK,5818553.0
DOM,10738958.0
DZA,43053054.0
EAP,2093675040.0
EAR,3290290613.0
EAS,2340628292.0
ECA,399404587.0
ECS,921140092.0
ECU,17373662.0
EGY,100388073.0
EMU,342597698.0
ERI,3213972.0
ESP,47076781.0
EST,1326590.0
ETH,112078730.0
EUU,447512041.0
FCS,798138587.0
FIN,5520314.0
FJI,889953.0
FRA,67059887.0
FRO,48678.0
FSM,113815.0
GAB,2172579.0
GBR,66834405.0
GEO,3720382.0
GHA,30417856.0
GIB,33701.0
GIN,12771246.0
GMB,2347706.0
GNB,1920922.0
GNQ,1355986.0
GRC,10716322.0
GRD,112003.0
GRL,56225.0
GTM,16604026.0
GUM,167294.0
GUY,782766.0
HIC,1235852838.0
HKG,7507400.0
HND,9746117.0
HPC,801708035.0
HRV,4067500.0
HTI,11263077.0
HUN,9769949.0
IBD,4816235953.0
IBT,6486934853.0
IDA,1670698900.0
IDB,561572202.0
IDN,270625568.0
IDX,1109126698.0
IMN,84584.0
IND,1366417754.0
IRL,4941444.0
IRN,82913906.0
IRQ,39309783.0
ISL,361313.0
ISR,9053300.0
ITA,60297396.0
JAM,2948279.0
JOR,10101694.0
JPN,126264931.0
KAZ,18513930.0
KEN,52573973.0
KGZ,6456900.0
KHM,16486542.0
KIR,117606.0
KNA,52834.0
KOR,51709098.0
KWT,4207083.0
LAC,613773119.0
LAO,7169455.0
LBN,6855713.0
LBR,4937374.0
LBY,6777452.0
LCA,182790.0
LCN,646430843.0
LDC,1033388876.0
LIC,668454965.0
LIE,38019.0
LKA,21803000.0
LMC,2913363391.0
LMY,6437681136.0
LSO,2125268.0
LTE,2298470832.0
LTU,2786844.0
LUX,619896.0
LVA,1912789.0
MAC,640445.0
MAF,38002.0
MAR,36471769.0
MCO,38964.0
MDA,2657637.0
MDG,26969307.0
MDV,530953.0
MEA,456707404.0
MEX,127575529.0
MHL,58791.0
MIC,5769226171.0
MKD,2083459.0
MLI,19658031.0
MLT,502653.0
MMR,54045420.0
MNA,389457086.0
MNE,622137.0
MNG,3225167.0
MNP,57216.0
MOZ,30366036.0
MRT,4525696.0
MUS,1265711.0
MWI,18628747.0
MYS,31949777.0
NAC,365892703.0
NAM,2494530.0
NCL,287800.0
NER,23310715.0
NGA,200963599.0
NIC,6545502.0
NLD,17332850.0
NOR,5347896.0
NPL,28608710.0
NRU,12581.0
NZL,4917000.0
OED,1359963500.0
OMN,4974986.0
OSS,31360407.0
PAK,216565318.0
PAN,4246439.0
PER,32510453.0
PHL,108116615.0
PLW,18008.0
PNG,8776109.0
POL,37970874.0
PRE,944902749.0
PRI,3193694.0
PRK,25666161.0
PRT,10269417.0
PRY,7044636.0
PSE,4685306.0
PSS,2493696.0
PST,1112914457.0
PYF,279287.0
QAT,2832067.0
ROU,19356544.0
RUS,144373535.0
RWA,12626950.0
SAS,1835776742.0
SAU,34268528.0
SDN,42813238.0
SEN,16296364.0
SGP,5703569.0
SLB,669823.0
SLE,7813215.0
SLV,6453553.0
SMR,33860.0
SOM,15442905.0
SRB,6944975.0
SSA,1105594562.0
SSD,11062113.0
SSF,1106957898.0
SST,41255486.0
STP,215056.0
SUR,581363.0
SVK,5454073.0
SVN,2087946.0
SWE,10285453.0
SWZ,1148130.0
SXM,40733.0
SYC,97625.0
SYR,17070135.0
TCA,38191.0
TCD,15946876.0
TEA,2067984156.0
TEC,460799505.0
TGO,8082366.0
THA,69625582.0
TJK,9321018.0
TKM,5942089.0
TLA,630644772.0
TLS,1293119.0
TMN,384771780.0
TON,104494.0
TSA,1835776742.0
TSS,1106957898.0
TTO,1394973.0
TUN,11694719.0
TUR,83429615.0
TUV,11646.0
TZA,58005463.0
UGA,44269594.0
UKR,44385155.0
UMC,2855862780.0
URY,3461734.0
USA,328239523.0
UZB,33580650.0
VCT,110589.0
VEN,28515829.0
VGB,30030.0
VIR,106631.0
VNM,96462106.0
VUT,299882.0
WLD,7673533974.0
WSM,197097.0
XKX,1794248.0
YEM,29161922.0
ZAF,58558270.0
ZMB,17861030.0
ZWE,14645468.0
