location,date,vaccine,total_vaccinations
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5199
Chile,12/26/2020,Pfizer/BioNTech,8339
Chile,12/27/2020,Pfizer/BioNTech,8650
Chile,12/28/2020,Pfizer/BioNTech,8650
Chile,12/29/2020,Pfizer/BioNTech,8650
Chile,12/30/2020,Pfizer/BioNTech,8650
Chile,12/31/2020,Pfizer/BioNTech,8650
Chile,1/1/2021,Pfizer/BioNTech,8650
Chile,1/2/2021,Pfizer/BioNTech,8650
Chile,1/3/2021,Pfizer/BioNTech,8650
Chile,1/4/2021,Pfizer/BioNTech,9055
Chile,1/5/2021,Pfizer/BioNTech,10498
Chile,1/6/2021,Pfizer/BioNTech,10703
Chile,1/7/2021,Pfizer/BioNTech,10703
Chile,1/8/2021,Pfizer/BioNTech,10703
Chile,1/9/2021,Pfizer/BioNTech,10703
Chile,1/10/2021,Pfizer/BioNTech,10703
Chile,1/11/2021,Pfizer/BioNTech,10703
Chile,1/12/2021,Pfizer/BioNTech,10703
Chile,1/13/2021,Pfizer/BioNTech,11733
Chile,1/14/2021,Pfizer/BioNTech,18647
Chile,1/15/2021,Pfizer/BioNTech,22076
Chile,1/16/2021,Pfizer/BioNTech,22166
Chile,1/17/2021,Pfizer/BioNTech,22166
Chile,1/18/2021,Pfizer/BioNTech,33210
Chile,1/19/2021,Pfizer/BioNTech,52513
Chile,1/20/2021,Pfizer/BioNTech,61763
Chile,1/21/2021,Pfizer/BioNTech,64820
Chile,1/22/2021,Pfizer/BioNTech,65231
Chile,1/23/2021,Pfizer/BioNTech,65231
Chile,1/24/2021,Pfizer/BioNTech,65231
Chile,1/25/2021,Pfizer/BioNTech,66648
Chile,1/26/2021,Pfizer/BioNTech,67264
Chile,1/27/2021,Pfizer/BioNTech,67299
Chile,1/28/2021,Pfizer/BioNTech,67299
Chile,1/29/2021,Pfizer/BioNTech,67304
Chile,1/30/2021,Pfizer/BioNTech,67304
Chile,1/31/2021,Pfizer/BioNTech,67304
Chile,2/1/2021,Pfizer/BioNTech,67304
Chile,2/2/2021,Pfizer/BioNTech,67310
Chile,2/2/2021,Sinovac,13111
Chile,2/3/2021,Pfizer/BioNTech,67310
Chile,2/3/2021,Sinovac,182954
Chile,2/4/2021,Pfizer/BioNTech,69437
Chile,2/4/2021,Sinovac,356215
Chile,2/5/2021,Pfizer/BioNTech,70125
Chile,2/5/2021,Sinovac,524189
Chile,2/6/2021,Pfizer/BioNTech,70130
Chile,2/6/2021,Sinovac,551567
Chile,2/7/2021,Pfizer/BioNTech,70130
Chile,2/7/2021,Sinovac,560152
Chile,2/8/2021,Pfizer/BioNTech,81790
Chile,2/8/2021,Sinovac,780067
Chile,2/9/2021,Pfizer/BioNTech,101108
Chile,2/9/2021,Sinovac,1020236
Chile,2/10/2021,Pfizer/BioNTech,109386
Chile,2/10/2021,Sinovac,1289764
Chile,2/11/2021,Pfizer/BioNTech,112111
Chile,2/11/2021,Sinovac,1538233
Chile,2/12/2021,Pfizer/BioNTech,112432
Chile,2/12/2021,Sinovac,1765261
Chile,2/13/2021,Pfizer/BioNTech,112466
Chile,2/13/2021,Sinovac,1794709
